symbol,timestamp,bid_figure,bid_points,offer_figure,offer_points,high,low,open
AUD/JPY,1513181701779,86.,025,86.,034,85.662,86.100,85.852
AUD/JPY,1513182301561,86.,036,86.,044,85.662,86.100,85.852
AUD/JPY,1513182602877,86.,036,86.,043,85.662,86.100,85.852
AUD/JPY,1513182900527,86.,049,86.,058,85.662,86.100,85.852
AUD/JPY,1513183201724,86.,021,86.,029,85.662,86.100,85.852
AUD/JPY,1513183500473,86.,040,86.,047,85.662,86.100,85.852
AUD/JPY,1513183802019,86.,091,86.,100,85.662,86.127,85.852
AUD/JPY,1513184101392,86.,099,86.,106,85.662,86.127,85.852
AUD/JPY,1513185301141,86.,064,86.,073,85.662,86.127,85.852
AUD/JPY,1513189503994,85.,996,86.,005,85.662,86.127,85.852
AUD/JPY,1513189799254,86.,018,86.,025,85.662,86.127,85.852
AUD/JPY,1513192202390,85.,977,85.,987,85.662,86.127,85.852
AUD/JPY,1513192502202,85.,962,85.,970,85.662,86.127,85.852
AUD/JPY,1513194000642,86.,015,86.,028,85.662,86.127,85.852
AUD/JPY,1513194302017,85.,972,85.,982,85.662,86.127,85.852
AUD/JPY,1513194601322,85.,993,86.,004,85.662,86.127,85.852
AUD/JPY,1513194900668,85.,956,85.,964,85.662,86.127,85.852
AUD/JPY,1513195201643,85.,918,85.,930,85.662,86.127,85.852
AUD/JPY,1513195501676,85.,921,85.,931,85.662,86.127,85.852
AUD/JPY,1513195801403,85.,906,85.,918,85.662,86.127,85.852
AUD/JPY,1513196101994,85.,879,85.,891,85.662,86.127,85.852
AUD/JPY,1513196402182,85.,887,85.,895,85.662,86.127,85.852
AUD/JPY,1513196702036,85.,897,85.,906,85.662,86.127,85.852
AUD/JPY,1513197002422,85.,858,85.,869,85.662,86.127,85.852
AUD/JPY,1513197300165,85.,924,85.,937,85.662,86.127,85.852
AUD/JPY,1513197599908,85.,911,85.,921,85.662,86.127,85.852
AUD/JPY,1513197899073,85.,875,85.,885,85.662,86.127,85.852
AUD/JPY,1513198201383,85.,882,85.,886,85.662,86.127,85.852
