"Date","Time","Open","High","Low","Close","Total Ticks"
11/16/2017,20:15:00,85.775,85.778,85.754,85.773,747
11/16/2017,20:30:00,85.773,85.802,85.763,85.797,1184
11/16/2017,20:45:00,85.797,85.801,85.774,85.791,1324
11/16/2017,21:00:00,85.791,85.797,85.772,85.783,621
11/16/2017,21:15:00,85.783,85.792,85.766,85.775,420
11/16/2017,21:30:00,85.775,85.792,85.761,85.773,621
11/16/2017,21:45:00,85.773,85.793,85.749,85.752,936
11/16/2017,22:00:00,85.752,85.798,85.734,85.78,1116
11/16/2017,22:15:00,85.78,85.835,85.774,85.799,1566
11/16/2017,22:30:00,85.799,85.815,85.768,85.781,1339
11/16/2017,22:45:00,85.781,85.81,85.759,85.777,1941
11/16/2017,23:00:00,85.777,85.807,85.771,85.798,1144
11/16/2017,23:15:00,85.798,85.835,85.773,85.831,712
11/16/2017,23:30:00,85.831,85.845,85.769,85.774,829
11/16/2017,23:45:00,85.774,85.785,85.734,85.764,1507
11/17/2017,00:00:00,85.764,85.767,85.662,85.69,2757
11/17/2017,00:15:00,85.69,85.705,85.633,85.662,2164
11/17/2017,00:30:00,85.662,85.679,85.583,85.613,2058
11/17/2017,00:45:00,85.613,85.693,85.611,85.673,2063
11/17/2017,01:00:00,85.673,85.692,85.555,85.581,1852
11/17/2017,01:15:00,85.581,85.617,85.549,85.613,2429
11/17/2017,01:30:00,85.613,85.613,85.47,85.541,5792
11/17/2017,01:45:00,85.541,85.576,85.509,85.551,3426
11/17/2017,02:00:00,85.551,85.568,85.471,85.553,4318
11/17/2017,02:15:00,85.553,85.579,85.463,85.464,4253
11/17/2017,02:30:00,85.464,85.498,85.447,85.483,3439
11/17/2017,02:45:00,85.483,85.528,85.441,85.524,2411
11/17/2017,03:00:00,85.524,85.525,85.471,85.485,2051
11/17/2017,03:15:00,85.485,85.485,85.424,85.443,2576
11/17/2017,03:30:00,85.443,85.47,85.4,85.424,2555
11/17/2017,03:45:00,85.424,85.434,85.375,85.376,1611
11/17/2017,04:00:00,85.376,85.383,85.306,85.35,2006
11/17/2017,04:15:00,85.35,85.372,85.331,85.341,1787
11/17/2017,04:30:00,85.341,85.341,85.239,85.275,2179
11/17/2017,04:45:00,85.275,85.286,85.188,85.254,2099
11/17/2017,05:00:00,85.254,85.274,85.214,85.228,1391
11/17/2017,05:15:00,85.228,85.235,85.148,85.16,1863
11/17/2017,05:30:00,85.16,85.219,85.143,85.197,1824
11/17/2017,05:45:00,85.197,85.226,85.165,85.224,1737
11/17/2017,06:00:00,85.224,85.258,85.203,85.23,1400
11/17/2017,06:15:00,85.23,85.28,85.217,85.243,1060
11/17/2017,06:30:00,85.243,85.244,85.138,85.153,1618
11/17/2017,06:45:00,85.153,85.153,85.033,85.06,2226
11/17/2017,07:00:00,85.06,85.082,85.049,85.075,1852
11/17/2017,07:15:00,85.075,85.161,85.069,85.12,2946
11/17/2017,07:30:00,85.12,85.145,85.026,85.041,3666
11/17/2017,07:45:00,85.041,85.115,85.012,85.104,2086
11/17/2017,08:00:00,85.104,85.131,85.04,85.051,4690
11/17/2017,08:15:00,85.051,85.068,85.001,85.023,2720
11/17/2017,08:30:00,85.023,85.055,84.989,84.994,3225
11/17/2017,08:45:00,84.994,85.063,84.962,84.965,3287
11/17/2017,09:00:00,84.965,84.975,84.898,84.903,3524
11/17/2017,09:15:00,84.903,84.945,84.858,84.945,2355
11/17/2017,09:30:00,84.945,85.011,84.941,85,1664
11/17/2017,09:45:00,85,85.033,84.968,84.974,1636
11/17/2017,10:00:00,84.974,85.03,84.969,85.013,1542
11/17/2017,10:15:00,85.013,85.015,84.962,84.979,1599
11/17/2017,10:30:00,84.979,84.979,84.91,84.917,1590
11/17/2017,10:45:00,84.917,84.952,84.904,84.904,1654
11/17/2017,11:00:00,84.904,84.919,84.888,84.912,1549
11/17/2017,11:15:00,84.912,84.921,84.876,84.909,1401
11/17/2017,11:30:00,84.909,84.975,84.899,84.971,1407
11/17/2017,11:45:00,84.971,85.021,84.962,84.981,1501
11/17/2017,12:00:00,84.981,85.003,84.946,84.991,1536
11/17/2017,12:15:00,84.991,85.013,84.974,85,1630
11/17/2017,12:30:00,85,85.033,84.989,85.009,1637
11/17/2017,12:45:00,85.009,85.041,85.002,85.032,1522
11/17/2017,13:00:00,85.032,85.033,84.94,84.952,1579
11/17/2017,13:15:00,84.952,85.007,84.95,84.968,1717
11/17/2017,13:30:00,84.968,84.976,84.908,84.92,2963
11/17/2017,13:45:00,84.92,84.941,84.892,84.901,3009
11/17/2017,14:00:00,84.901,84.903,84.842,84.864,3667
11/17/2017,14:15:00,84.864,84.891,84.809,84.815,2827
11/17/2017,14:30:00,84.815,84.895,84.787,84.794,3730
11/17/2017,14:45:00,84.794,84.812,84.726,84.761,4111
11/17/2017,15:00:00,84.761,84.802,84.746,84.783,3445
11/17/2017,15:15:00,84.783,84.859,84.766,84.82,2748
11/17/2017,15:30:00,84.82,84.826,84.747,84.755,2297
11/17/2017,15:45:00,84.755,84.76,84.696,84.728,3243
